Keyword,URL,Position04/25/2014,Trend04/18/2014,Tags,Title,Universal Search Integrations,Search Volume,Traffic Index,CPC,,,Pos. - Google USA English
groupon,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...","video,news",3259166,868096,0.06,,,
restaurants,www.groupon.com/local/restaurants,13,-4,"cat: food & drink,top: restaurants",Restaurant - Deals &amp; Coupons | Groupon,"images,news",3754416,16236,0.93,,,
groupon chicago,www.groupon.com/local/chicago,1,0,brand,Chicago Deals - Best Deals &amp; Coupons in Chicago | Groupon,"video,news",45750,12184,0.18,,,
groupon chicago,www.groupon.com/getaways,2,0,brand,All Chicago Getaways Deals | Groupon,"video,news",45750,1104,0.18,,,
groupon chicago,www.groupon.com/deals/chicago-history-museum-6,3,0,brand,Chicago History Museum Lincoln Park - Groupon,"video,news",45750,880,0.18,,,
groupons,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",news,40427,10768,0.05,,,
groupon las vegas,www.groupon.com/local/las-vegas,1,0,brand,Las Vegas Deals - Best Deals &amp; Coupons in Las ... - Groupon,video,25852,6884,0.21,,,
groupon las vegas,www.groupon.com/deals/las-vegas-club-crawl-5,2,0,brand,Las Vegas Club Crawl Deal of the Day | Groupon,video,25852,624,0.21,,,
groupon las vegas,www.groupon.com/deals/toby-keith-s-i-love-this-bar-grill-at-harrah-s-las-vegas,3,0,brand,Toby Keith's I Love This Bar &amp; Grill at Harrah's Las Vegas ...,video,25852,496,0.21,,,
groupon atlanta,www.groupon.com/local/atlanta,1,0,brand,Atlanta Deals - Best Deals &amp; Coupons in Atlanta | Groupon,video,21683,5772,0.13,,,
groupon atlanta,www.groupon.com/deals/atlanta-rocks-indoor-climbing-gym,2,0,brand,Atlanta Rocks! Atlanta Deal of the Day | Groupon Atlanta,video,21683,524,0.13,,,
groupon atlanta,www.groupon.com/deals/the-children-s-museum-of-atlanta,3,0,brand,The Children's Museum of Atlanta Atlanta Deal of ... - Groupon,video,21683,416,0.13,,,
group on,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",,20691,5508,0.2,,,
groupon nyc,www.groupon.com/local/new-york-city,1,0,brand,New York City | Groupon,video,38880,5500,0.07,,,
groupon nyc,www.groupon.com/local/new-york,2,0,brand,New York Guide and Deals - Groupon,video,38880,1984,0.07,,,
groupon nyc,www.groupon.com/new-york/getaways,3,0,brand,New York City - Groupon,video,38880,1488,0.07,,,
groupon dallas,www.groupon.com/local/dallas,1,0,brand,Dallas Deals - Best Deals &amp; Coupons in Dallas | Groupon,video,20112,5356,0.09,,,
groupon dallas,www.groupon.com/deals/spirit-expeditions-7,2,0,brand,Spirit Expeditions Dallas Deal of the Day | Groupon Dallas,video,20112,484,0.09,,,
groupon dallas,www.groupon.com/deals/dallas-arboretum-8,3,0,brand,Dallas Arboretum and Botanical Gardens Dallas ... - Groupon,video,20112,384,0.09,,,
groupon houston,www.groupon.com/local/houston,1,0,brand,Houston Deals - Best Deals &amp; Coupons in Houston | Groupon,video,19600,5220,0.07,,,
groupon houston,www.groupon.com/deals/greater-houston-archery,2,0,brand,Greater Houston Archery Houston Deal of the ... - Groupon,video,19600,472,0.07,,,
groupon houston,www.groupon.com/deals/houston-beer-fest-3,3,0,brand,Houston Beer Fest Houston Deal of the Day | Groupon ...,video,19600,376,0.07,,,
groupon los angeles,www.groupon.com/local/los-angeles,1,0,brand,Los Angeles Deals - Best Deals &amp; Coupons in ... - Groupon,video,20720,2932,0.1,,,
groupon los angeles,www.groupon.com/los-angeles/area/los-angeles,2,0,brand,Los Angeles Deal of the Day: Restaurants ... - Groupon,video,20720,1056,0.1,,,
groupon los angeles,www.groupon.com/reserve/los-angeles,3,0,brand,Groupon Reserve | Los Angeles,video,20720,792,0.1,,,
groupon boston,www.groupon.com/local/boston,1,0,brand,Boston Deals - Best Deals &amp; Coupons in Boston | Groupon,video,20045,2836,0.09,,,
groupon boston,www.groupon.com/boston/getaways,2,0,brand,Boston Getaways Deals - Groupon,video,20045,1024,0.09,,,
groupon boston,www.groupon.com/local/cambridge-ma,3,0,brand,Cambridge Deals - Best Deals &amp; Coupons in ... - Groupon,video,20045,768,0.09,,,
groupon denver,www.groupon.com/local/denver,1,0,brand,Denver Deals - Best Deals &amp; Coupons in Denver | Groupon,video,10254,2728,0.13,,,
groupon denver,www.groupon.com/deals/auto-glass-denver-pros,2,0,brand,Auto Glass Denver Pros Denver Deal of the Day | Groupon ...,video,10254,248,0.13,,,
groupon denver,www.groupon.com/deals/denver-gourmet-tours-6,3,0,brand,Denver Gourmet Tours Deal of the Day | Groupon,video,10254,196,0.13,,,
groupon phoenix,www.groupon.com/local/phoenix,1,0,brand,Phoenix Deals - Best Deals &amp; Coupons in Phoenix | Groupon,video,18879,2672,0.1,,,
groupon phoenix,www.groupon.com/deals/skydive-phoenix,2,0,brand,Skydive Phoenix Phoenix Deal of the Day | Groupon Phoenix,video,18879,964,0.1,,,
groupon phoenix,www.groupon.com/deals/yoga-pura,3,0,brand,Yoga Pura Phoenix Deal of the Day | Groupon Phoenix,video,18879,724,0.1,,,
groupon orlando,www.groupon.com/local/orlando,1,0,brand,Orlando Deals - Best Deals &amp; Coupons in Orlando | Groupon,video,16995,2404,0.13,,,
groupon orlando,www.groupon.com/deals/seaworld-orlando-and-aquatica-seaworld-s-waterpark,2,0,brand,SeaWorld Orlando Orlando Deal of the Day | Groupon Orlando,video,16995,868,0.13,,,
groupon orlando,www.groupon.com/getaways,3,0,brand,All Chicago Getaways Deals | Groupon,video,16995,648,0.13,,,
groupon seattle,www.groupon.com/local/seattle,1,0,brand,Seattle Deals - Best Deals &amp; Coupons in Seattle | Groupon,,12325,1744,0.11,,,
groupon seattle,www.groupon.com/seattle/area/tacoma,2,0,brand,"Seattle Deal of the Day: Restaurants, Beauty ... - Groupon",,12325,628,0.11,,,
groupon seattle,www.groupon.com/deals/spooked-in-seattle-2,3,0,brand,Spooked in Seattle Ghost Tours Seattle Deal of ... - Groupon,,12325,472,0.11,,,
groupon austin,www.groupon.com/local/austin,1,0,brand,Austin Deals - Best Deals &amp; Coupons in Austin | Groupon,video,10200,1440,0.09,,,
groupon austin,www.groupon.com/deals/austin-shoe-hospital-3,2,0,brand,Austin Shoe Hospital Austin Deal of the Day | Groupon Austin,video,10200,520,0.09,,,
groupon austin,www.groupon.com/deals/trapeze-austin-9,3,0,brand,Trapeze Austin Austin Deal of the Day | Groupon Austin,video,10200,388,0.09,,,
groupon san francisco,www.groupon.com/local/san-francisco,1,0,brand,San Francisco Deals - Best Deals &amp; Coupons in ... - Groupon,video,9291,1312,0.11,,,
groupon san francisco,www.groupon.com/san-francisco/area/east-bay,2,0,brand,San Francisco Deal of the Day: Restaurants ... - Groupon,video,9291,472,0.11,,,
groupon san francisco,www.groupon.com/reserve/san-francisco,3,0,brand,Groupon Reserve | San Francisco,video,9291,356,0.11,,,
things to do in san francisco,www.groupon.com/local/san-francisco/things-to-do,6,1,"cat: events & activities,city: things to do,san francisco,top: things to do do",Things To Do In San Francisco - Deals in San ... - Groupon,"images,video,carousel,knowledge_graph",55297,1216,0.47,,,
things to do in atlanta,www.groupon.com/local/atlanta/things-to-do,4,0,"atlanta,cat: events & activities,city: things to do,top: things to do do",Things To Do In Atlanta - Deals in Atlanta | Groupon,"images,video,carousel,knowledge_graph",39783,1172,1.15,,,
things to do in orlando,www.groupon.com/local/orlando/things-to-do,4,0,"cat: events & activities,city: things to do,orlando,top: things to do do",Things To Do In Orlando - Deals in Orlando | Groupon,"images,video,carousel,knowledge_graph",34816,1024,0.61,,,
groupon philadelphia,www.groupon.com/local/philadelphia,1,0,brand,Philadelphia Deals - Best Deals &amp; Coupons in ... - Groupon,video,6808,960,0.1,,,
groupon philadelphia,www.groupon.com/reserve/philadelphia,2,0,brand,Groupon Reserve | Philadelphia,video,6808,348,0.1,,,
groupon philadelphia,www.groupon.com/deals/philadelphia-eyeglass-labes-3,3,0,brand,Philadelphia Eyeglass Labs Philadelphia Deal of ... - Groupon,video,6808,260,0.1,,,
things to do in san diego,www.groupon.com/local/san-diego/things-to-do,7,0,"cat: events & activities,city: things to do,san diego,top: things to do do",Things To Do In San Diego - Deals in San Diego | Groupon,"images,video,carousel,knowledge_graph",56091,900,0.73,,,
groupon milwaukee,www.groupon.com/local/milwaukee,1,0,brand,Milwaukee Deals - Best Deals &amp; Coupons in ... - Groupon,video,5150,728,0.05,,,
things to do in denver,www.groupon.com/local/denver/things-to-do,6,0,"cat: events & activities,city: things to do,denver,top: things to do do",Things To Do In Denver - Deals in Denver | Groupon,"images,video,carousel,knowledge_graph",31475,692,1.28,,,
things to do in chicago,www.groupon.com/local/chicago/things-to-do,10,-1,"cat: events & activities,chicago,city: things to do,top: things to do do",Things To Do In Chicago - Deals in Chicago | Groupon,"images,video,carousel,knowledge_graph",68208,616,0.76,,,
groupon new york,www.groupon.com/local/new-york,1,0,brand,New York Guide and Deals - Groupon,video,4172,588,0.27,,,
groupon new york,www.groupon.com/new-york/getaways,2,0,brand,New York City - Groupon,video,4172,212,0.27,,,
groupon new york,www.groupon.com/,3,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",video,4172,160,0.27,,,
groupon deals,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...","video,news",4166,588,0.18,,,
things to do in philadelphia,www.groupon.com/local/philadelphia/things-to-do,6,0,"cat: events & activities,city: things to do,philadelphia,top: things to do do",Things To Do In Philadelphia - Deals in ... - Groupon,"images,video,carousel,knowledge_graph",26222,576,1.01,,,
things to do in boston,www.groupon.com/local/boston/things-to-do,8,-3,"boston,cat: events & activities,city: things to do,top: things to do do",Things To Do In Boston - Deals in Boston | Groupon,"images,carousel,knowledge_graph",41994,564,0.94,,,
things to do in san antonio,www.groupon.com/local/san-antonio/things-to-do,6,-1,"cat: events & activities,city: things to do,san antonio,top: things to do do",Things To Do In San Antonio - Deals in San Antonio | Groupon,"images,video,carousel,knowledge_graph",23462,516,0.87,,,
things to do in las vegas,www.groupon.com/local/las-vegas/things-to-do,8,0,"cat: events & activities,city: things to do,las vegas,top: things to do do",Things To Do In Las Vegas - Deals in Las Vegas | Groupon,"images,carousel,knowledge_graph",38136,512,0.71,,,
things to do in houston,www.groupon.com/local/houston/things-to-do,7,-1,"cat: events & activities,city: things to do,houston,top: things to do do",Things To Do In Houston - Deals in Houston | Groupon,"images,carousel,knowledge_graph",27675,444,0.68,,,
local restaurants,www.groupon.com/local/restaurants,8,-1,"cat: food & drink,top: restaurants",Restaurant - Deals &amp; Coupons | Groupon,,26466,412,0.24,,,
things to do in phoenix,www.groupon.com/local/phoenix/things-to-do,7,0,"cat: events & activities,city: things to do,phoenix,top: things to do do",Things To Do In Phoenix - Deals in Phoenix | Groupon,"images,video,carousel,knowledge_graph",24491,392,0.38,,,
